field,turbine,mode,power_mape,torque_mape,baseline_power_mape,samples
WF_1,18,all_fit_diagnostic,0.18553978009152333,5.721436506734574,0.18797463833868353,1999
WF_1,18,chronological_holdout,0.19631749977243412,5.725201503316814,0.20429925813966326,600
WF_1,19,all_fit_diagnostic,0.19861088466559018,5.729042549468344,0.19572185300840692,1999
WF_1,19,chronological_holdout,0.19123948660220996,5.726599052397364,0.17830324244307807,600
WF_1,20,all_fit_diagnostic,0.2008818091698891,5.683445547912204,0.19623363917139394,1999
WF_1,20,chronological_holdout,0.20648962951466254,5.73728646422035,0.20668337110262194,600
WF_1,21,all_fit_diagnostic,0.2220039906266558,5.760152206667602,0.2108979649004294,1999
WF_1,21,chronological_holdout,0.24261375644013652,5.846414623077336,0.24203640720756067,600
WF_1,22,all_fit_diagnostic,0.20063475354857083,5.708014314482552,0.19585000774888947,1999
WF_1,22,chronological_holdout,0.19549782828515097,5.6761429255357925,0.1699553608892981,600
WF_1,23,all_fit_diagnostic,0.20443881367802713,5.718415061361915,0.19897536168820368,1999
WF_1,23,chronological_holdout,0.20393007432099783,5.697410942880005,0.1946635179933653,600
WF_1,24,all_fit_diagnostic,0.19268532535302746,5.695903456304886,0.19225928608054355,1999
WF_1,24,chronological_holdout,0.18285620247597345,5.662460813562748,0.18092479218725094,600
WF_1,25,all_fit_diagnostic,0.21360107641841813,5.6991725847928105,0.2096385065035427,1999
WF_1,25,chronological_holdout,0.22579688138647738,5.727102567974109,0.22681409619915563,600
WF_1,26,all_fit_diagnostic,0.19841196783236514,5.731286407090151,0.19449142192354732,1999
WF_1,26,chronological_holdout,0.2000502327222101,5.757432145148243,0.1834523202873867,600
WF_1,27,all_fit_diagnostic,0.2136461802732729,5.679510543177868,0.20558791195082418,1999
WF_1,27,chronological_holdout,0.20974929199693218,5.704197699728468,0.20613097611199485,600
WF_1,28,all_fit_diagnostic,0.20387337979327907,5.718544942752286,0.2031734394459686,1999
WF_1,28,chronological_holdout,0.18989034686316741,5.711948685885729,0.18065324280431172,600
WF_1,29,all_fit_diagnostic,0.21400819461132428,5.716755994191029,0.20578236882314327,1999
WF_1,29,chronological_holdout,0.22115894230888755,5.773942351533858,0.23042464251180153,600
WF_1,30,all_fit_diagnostic,0.1992497349048949,5.689392977260938,0.19081224537591912,1999
WF_1,30,chronological_holdout,0.2056328957544761,5.747966525176028,0.20490350759874873,600
WF_1,31,all_fit_diagnostic,0.21989416699229736,5.720838858225122,0.20861866160731563,1999
WF_1,31,chronological_holdout,0.22043372613711054,5.759952721817134,0.20100818999845954,600
WF_1,32,all_fit_diagnostic,0.2086473812093929,5.730658767204554,0.20440010225117078,1999
WF_1,32,chronological_holdout,0.1927840347990427,5.707921546133431,0.17789524254896255,600
WF_1,33,all_fit_diagnostic,0.20315107292937398,5.72430496782945,0.19737276136524984,1999
WF_1,33,chronological_holdout,0.2030571536724713,5.736949082329187,0.19435472948696905,600
WF_1,34,all_fit_diagnostic,0.2041291912080482,5.7497438888181085,0.20055321385526156,1999
WF_1,34,chronological_holdout,0.2104237579696802,5.697610345294559,0.2071185570606756,600
WF_1,35,all_fit_diagnostic,0.1857071614119116,5.708428177261485,0.1862354758566581,1999
WF_1,35,chronological_holdout,0.17359347510665532,5.758673046117932,0.17072950195892514,600
WF_1,36,all_fit_diagnostic,0.20519752621773268,5.733240398371399,0.20191334968105668,1999
WF_1,36,chronological_holdout,0.188794379987001,5.8111893351307575,0.18999987959391465,600
WF_1,37,all_fit_diagnostic,0.20453600617898554,5.674493338692526,0.20110011392361626,1999
WF_1,37,chronological_holdout,0.2079440982806513,5.663553950998885,0.20601844969659844,600
WF_1,38,all_fit_diagnostic,0.1878949219432649,5.715519656723651,0.18927399796652555,1999
WF_1,38,chronological_holdout,0.18454515907025523,5.702870611082451,0.17308956573362166,600
WF_1,39,all_fit_diagnostic,0.20220255611855553,5.679917771965959,0.19887908772150353,1999
WF_1,39,chronological_holdout,0.1923853615183432,5.659685929305979,0.1760878468353669,600
WF_1,40,all_fit_diagnostic,0.20271706616527962,5.702421151910135,0.19863499929791542,1999
WF_1,40,chronological_holdout,0.19374433783605477,5.737608092996275,0.1807323336316249,600
WF_1,41,all_fit_diagnostic,0.20611059725877587,5.6961694927705295,0.20329268794077468,1999
WF_1,41,chronological_holdout,0.21333777444327526,5.641168786738859,0.21058348156328005,600
WF_1,42,all_fit_diagnostic,0.20883084781012098,5.731860374029249,0.20374648801340048,1999
WF_1,42,chronological_holdout,0.20098365677826252,5.68612817736417,0.1926428253628251,600
WF_1,43,all_fit_diagnostic,0.19459830735902378,5.6496449522099645,0.19323590222301698,1999
WF_1,43,chronological_holdout,0.20862160794290044,5.6923479197620495,0.2150034230505733,600
WF_1,44,all_fit_diagnostic,0.2037340687999269,5.7045722180442615,0.20072141467392962,1999
WF_1,44,chronological_holdout,0.21466073451601467,5.700842402394584,0.2110076670519235,600
WF_1,45,all_fit_diagnostic,0.22008147474290762,5.707704416992524,0.20929439194191393,1999
WF_1,45,chronological_holdout,0.22352532846319673,5.691201316285442,0.22370281235129896,600
WF_1,46,all_fit_diagnostic,0.18687067340128705,5.74801376936766,0.18816052602525074,1999
WF_1,46,chronological_holdout,0.20820358796964727,5.779137741530013,0.21607167357008822,600
WF_1,47,all_fit_diagnostic,0.2119580471154286,5.753128205559897,0.20679602709420966,1999
WF_1,47,chronological_holdout,0.2087884362522141,5.720102356019652,0.20546744053911167,600
WF_1,48,all_fit_diagnostic,0.22014420000017665,5.711663071747792,0.21043580056649844,1999
WF_1,48,chronological_holdout,0.22340541078458048,5.618332203557453,0.21647786946827896,600
WF_1,49,all_fit_diagnostic,0.2193453280526521,5.739349351011487,0.21037598669109725,1999
WF_1,49,chronological_holdout,0.24008974055407514,5.752680630821817,0.24371284087554992,600
WF_1,50,all_fit_diagnostic,0.18388415773119268,5.738815047388044,0.18508592758676776,1999
WF_1,50,chronological_holdout,0.1976766147751512,5.736714181886396,0.2003606452083194,600
WF_1,51,all_fit_diagnostic,0.2236365195601048,5.703721981750482,0.21968632934667728,1999
WF_1,51,chronological_holdout,0.23138423851194273,5.698896235885904,0.2228666159368992,600
WF_1,52,all_fit_diagnostic,0.21714189899354816,5.687847146054467,0.20332263957549435,1999
WF_1,52,chronological_holdout,0.20624795907126908,5.668999879531259,0.1861691729511934,600
WF_1,53,all_fit_diagnostic,0.20831269902974098,5.68894235038647,0.20592460922150024,1999
WF_1,53,chronological_holdout,0.21456216236112874,5.690109281308874,0.21976412209168103,600
WF_1,54,all_fit_diagnostic,0.18288672276376636,5.69293691960883,0.1861529371224633,1999
WF_1,54,chronological_holdout,0.18362167893025394,5.653723242347802,0.18379956122207022,600
WF_1,55,all_fit_diagnostic,0.217517211385516,5.729036533669634,0.20854991869387027,1999
WF_1,55,chronological_holdout,0.2209206893870038,5.8374583461830065,0.22099125181558776,600
WF_1,56,all_fit_diagnostic,0.20729748713505033,5.695223758624729,0.2018359750455393,1999
WF_1,56,chronological_holdout,0.19561154642421139,5.678200205404283,0.19429853745824985,600
WF_1,57,all_fit_diagnostic,0.21600642751157428,5.7005629166673,0.20624022783261262,1999
WF_1,57,chronological_holdout,0.21124247249290087,5.703189579815494,0.20589762768001954,600
WF_1,58,all_fit_diagnostic,0.21792638712274187,5.711449897314574,0.2109470174397447,1999
WF_1,58,chronological_holdout,0.21565184326854733,5.72147701250685,0.2047068481642327,600
WF_1,59,all_fit_diagnostic,0.21525983347159272,5.717314765053485,0.20659652292786213,1999
WF_1,59,chronological_holdout,0.1995470447964117,5.731940647609001,0.20459147768634875,600
WF_1,60,all_fit_diagnostic,0.21053488669888204,5.690896035028188,0.19957402581810949,1999
WF_1,60,chronological_holdout,0.1928258165678601,5.67315496442105,0.18319649938375637,600
WF_1,61,all_fit_diagnostic,0.22963917565389644,5.703287809551169,0.2223591601331073,1999
WF_1,61,chronological_holdout,0.23573115948098028,5.65238486294861,0.22766154778917042,600
WF_1,62,all_fit_diagnostic,0.22582064967821866,5.727116943480827,0.2148021847185921,1999
WF_1,62,chronological_holdout,0.21936393377671765,5.741721361776529,0.1882592423168102,600
WF_1,63,all_fit_diagnostic,0.1863380966360499,5.733911045153828,0.18815777146377832,1999
WF_1,63,chronological_holdout,0.19156577376154896,5.773464166474935,0.20195537240632902,600
WF_1,64,all_fit_diagnostic,0.20615890822859145,5.723943825502013,0.1997414613771909,1999
